Date,Title,PaperLink,Journal/Conference,JournalLink,Citations,Score
2019,Scoring in microfinance: credit risk management tool-Case of Morocco,https://publons.com/publon/27096284/,Procedia Computer Science,https://publons.com/journal/22602/procedia-computer-science,-1,-1
Aug 2018,Portfolio optimization in fuzzy asset management with coherent risk measures derived from risk averse utility,https://publons.com/publon/2110553/,Neural Computing and Applications,https://publons.com/journal/9598/neural-computing-and-applications,-1,-1
Jun 2015,Risk Management Committee and Disclosure of Hedging Activities Information Among Malaysian Listed Companies,https://publons.com/publon/347991/,Advanced Science Letters,https://publons.com/journal/12034/advanced-science-letters,-1,-1
Jun 2018,Theoretical and Empirical Differences between Diagonal and Full BEKK for Risk Management,https://publons.com/publon/2046418/,Energies,https://publons.com/journal/506/energies,-1,-1
2019,Development of supply chain risk management approaches for construction projects: A grounded theory approach,https://publons.com/publon/3904516/,Computers & Industrial Engineering,https://publons.com/journal/25136/computers-industrial-engineering,1,1
Mar 2012,Syntactic and Semantic Extensions to Secure Tropos to Support Security Risk Management,https://publons.com/publon/2982081/,Journal of Universal Computer Science,https://publons.com/journal/6799/journal-of-universal-computer-science,15,15
2017,Recent Development in Big Data Analytics for Business Operations and Risk Management,https://publons.com/publon/84144/,IEEE Transactions on Cybernetics,https://publons.com/journal/25560/ieee-transactions-on-cybernetics,48,48
Nov 2013,RFID based Attendance Management System,https://publons.com/publon/588631/,International Journal of Electrical and Computer Engineering (IJECE),https://publons.com/journal/26621/international-journal-of-electrical-and-computer-e,-1,-1
Jan 2019,"A Survey on Global Management View: Toward Combining System Monitoring, Resource Management, and Load Prediction",https://publons.com/publon/2494770/,Journal of Grid Computing,https://publons.com/journal/4675/journal-of-grid-computing,-1,-1
Sep 2018,Patterns in Faculty Learning Management System Use,https://publons.com/publon/14153027/,TechTrends,https://publons.com/journal/8784/techtrends,-1,-1
May 2018,Characterising resource management performance in Kubernetes,https://publons.com/publon/1755749/,Computers & Electrical Engineering,https://publons.com/journal/22963/computers-electrical-engineering,3,3
Jun 2010,Semantic Web-Based Management of Routing Configurations,https://publons.com/publon/162337/,Journal of Network and Systems Management,https://publons.com/journal/11693/journal-of-network-and-systems-management,2,2
2018,Distribution-Level Flexibility Market for Congestion Management,https://publons.com/publon/2447401/,Energies,https://publons.com/journal/506/energies,2,2
2016,Oral vascular malformations: laser treatment and management,https://publons.com/publon/1110930/,Proceedings of SPIE - The International Society for Optical Engineering,https://publons.com/journal/12611/proceedings-of-spie-the-international-society-for-,-1,-1
2018,Electric Vehicle Charge-Discharge Management for Utilization of Photovoltaic by Coordination between Home and Grid Energy Management Systems,https://publons.com/publon/1971295/,IEEE Transactions on Smart Grid,https://publons.com/journal/945/ieee-transactions-on-smart-grid,-1,-1
2019,CropSight: a scalable and open-source information management system for distributed plant phenotyping and IoT-based crop management,https://publons.com/publon/7440933/,GigaScience,https://publons.com/journal/530/gigascience,1,1
2018,The Role of Knowledge Management Process and Intellectual Capital as Intermediary Variables between Knowledge Management Infrastructure and Organization Performance,https://publons.com/publon/3061826/,"Interdisciplinary Journal of Information, Knowledge, and Management",https://publons.com/journal/27695/interdisciplinary-journal-of-information-knowledge,-1,-1
2017,Cognitive Risk Control for Physical Systems,https://publons.com/publon/927564/,IEEE Access,https://publons.com/journal/28130/ieee-access,9,9
2012,Analyzing Human Resource Management Practices Within the GSD Context,https://publons.com/publon/1464304/,Journal of Global Information Technology Management,https://publons.com/journal/9219/journal-of-global-information-technology-managemen,26,26
2015,A novel protocol for multiparty quantum key management,https://publons.com/publon/414350/,Quantum Information Processing,https://publons.com/journal/4065/quantum-information-processing,29,29
